municipio,zona,promedio_ciencias,promedio_matematicas,total_accesos_internet,puntaje_stem,brecha_stem,nivel_brecha,nivel_conectividad_base,nivel_conectividad,municipio_normalizado
PUERTO LLERAS,URBANO,42.85964912280702,44.45614035087719,1743.0,43.65789473684211,-3.828220524675764,alto,básico,básico,PUERTO LLERAS
PUERTO LÓPEZ,RURAL,51.92173913043478,52.84347826086957,20856.0,52.38260869565217,4.8964934341343,medio,básico,básico,PUERTO LOPEZ
PUERTO LÓPEZ,URBANO,48.86026200873363,50.92576419213974,20856.0,49.89301310043668,2.406897838918809,medio,básico,básico,PUERTO LOPEZ
PUERTO NARE,RURAL,41.223880597014926,43.507462686567166,9256.0,42.365671641791046,-5.120443619726828,alto,básico,básico,PUERTO NARE
PUERTO NARE,URBANO,44.31578947368421,42.81578947368421,9256.0,43.56578947368421,-3.9203257878336615,alto,básico,básico,PUERTO NARE
PUERTO NARIÑO,RURAL,37.07407407407408,33.25925925925926,969.0,35.16666666666667,-12.319448594851202,crítico,básico,básico,PUERTO NARINO
PUERTO NARIÑO,URBANO,37.851851851851855,36.51851851851852,969.0,37.18518518518519,-10.300930076332683,crítico,básico,básico,PUERTO NARINO
PUERTO PARRA,RURAL,45.5,44.60416666666666,1493.0,45.05208333333333,-2.4340319281845453,alto,básico,básico,PUERTO PARRA
PUERTO PARRA,URBANO,45.172413793103445,43.58620689655172,1493.0,44.37931034482759,-3.1068049166902867,alto,básico,básico,PUERTO PARRA
PUERTO RICO,RURAL,43.63636363636363,44.86363636363637,8608.0,44.25,-3.236115261517874,alto,básico,básico,PUERTO RICO
PUERTO RICO,URBANO,44.91079812206573,46.4037558685446,8608.0,45.65727699530517,-1.8288382662127063,alto,básico,básico,PUERTO RICO
PUERTO RONDÓN,URBANO,43.43478260869565,44.45652173913044,4353.0,43.94565217391305,-3.5404630876048273,alto,básico,básico,PUERTO RONDON
PUERTO SALGAR,RURAL,43.0,37.0,32387.0,40.0,-7.486115261517874,crítico,básico,básico,PUERTO SALGAR
PUERTO SALGAR,URBANO,50.52941176470589,53.60294117647059,32387.0,52.06617647058824,4.580061209070365,medio,básico,básico,PUERTO SALGAR
PUERTO SANTANDER,RURAL,38.45454545454545,40.72727272727273,10307.0,39.59090909090909,-7.89520617060878,crítico,básico,básico,PUERTO SANTANDER
PUERTO SANTANDER,URBANO,44.89473684210526,43.76315789473684,10307.0,44.328947368421055,-3.157167893096819,alto,básico,básico,PUERTO SANTANDER
PUERTO TEJADA,URBANO,43.14695340501792,44.668458781362006,47140.0,43.90770609318996,-3.578409168327916,alto,básico,básico,PUERTO TEJADA
PUERTO TRIUNFO,RURAL,48.06086956521739,49.64347826086957,10397.0,48.85217391304348,1.3660586515256057,medio,básico,básico,PUERTO TRIUNFO
PUERTO TRIUNFO,URBANO,46.44827586206897,49.55172413793103,10397.0,48.0,0.5138847384821261,medio,básico,básico,PUERTO TRIUNFO
PUERTO WILCHES,RURAL,45.06086956521739,45.791304347826085,21742.0,45.426086956521736,-2.0600283049961376,alto,básico,básico,PUERTO WILCHES
PUERTO WILCHES,URBANO,45.11764705882353,46.752941176470586,21742.0,45.93529411764706,-1.550821143870813,alto,básico,básico,PUERTO WILCHES
PULÍ,RURAL,40.25,36.75,608.0,38.5,-8.986115261517874,crítico,básico,básico,PULI
PULÍ,URBANO,45.86666666666667,47.86666666666667,608.0,46.86666666666667,-0.6194485948512067,alto,básico,básico,PULI
PUPIALES,RURAL,49.76744186046512,50.74418604651163,8652.0,50.25581395348837,2.769698691970497,medio,básico,básico,PUPIALES
PUPIALES,URBANO,51.48466257668712,52.42331288343559,8652.0,51.95398773006136,4.467872468543483,medio,básico,básico,PUPIALES
PURACÉ,RURAL,45.583333333333336,48.333333333333336,248.0,46.958333333333336,-0.5277819281845382,alto,básico,básico,PURACE
PURACÉ,URBANO,47.15217391304348,46.43478260869565,248.0,46.79347826086956,-0.6926370006483111,alto,básico,básico,PURACE
PURIFICACIÓN,RURAL,42.6025641025641,42.62820512820513,24547.0,42.61538461538461,-4.870730646133261,alto,básico,básico,PURIFICACION
PURIFICACIÓN,URBANO,44.88622754491018,45.5748502994012,24547.0,45.23053892215569,-2.255576339362186,alto,básico,básico,PURIFICACION
PURÍSIMA DE LA CONCEPCIÓN,RURAL,45.34782608695652,44.27536231884058,,44.81159420289855,-2.6745210586193267,alto,alto,alto,PURISIMA DE LA CONCEPCION
PURÍSIMA DE LA CONCEPCIÓN,URBANO,44.42635658914729,43.76744186046512,,44.09689922480621,-3.389216036711666,alto,alto,alto,PURISIMA DE LA CONCEPCION
PÁCORA,RURAL,46.53061224489796,48.69387755102041,10470.0,47.61224489795919,0.1261296364413127,medio,básico,básico,PACORA
PÁCORA,URBANO,47.03174603174603,49.15873015873016,10470.0,48.095238095238095,0.609122833720221,medio,básico,básico,PACORA
PÁEZ,RURAL,42.92664092664093,41.67567567567568,548.0,42.3011583011583,-5.184956960359571,crítico,básico,básico,PAEZ
PÁEZ,URBANO,52.86363636363637,53.68181818181818,548.0,53.27272727272727,5.7866120112093995,bajo,básico,básico,PAEZ
PÁRAMO,RURAL,43.75,49.25,1990.0,46.5,-0.9861152615178739,alto,básico,básico,PARAMO
PÁRAMO,URBANO,56.58974358974359,60.61538461538461,1990.0,58.6025641025641,11.116448841046228,bajo,básico,básico,PARAMO
QUEBRADANEGRA,RURAL,49.0,54.6551724137931,2783.0,51.827586206896555,4.341470945378681,medio,básico,básico,QUEBRADANEGRA
QUEBRADANEGRA,URBANO,46.71428571428572,52.142857142857146,2783.0,49.42857142857143,1.9424561670535567,medio,básico,básico,QUEBRADANEGRA
QUETAME,RURAL,47.37837837837838,47.91891891891892,692.0,47.648648648648646,0.1625333871307717,medio,básico,básico,QUETAME
QUETAME,URBANO,49.85714285714285,51.18367346938776,692.0,50.5204081632653,3.0342929017474276,medio,básico,básico,QUETAME
QUIBDÓ,RURAL,37.138888888888886,36.333333333333336,93761.0,36.736111111111114,-10.75000415040676,crítico,medio,medio,QUIBDO
QUIBDÓ,URBANO,42.90805416963649,44.153243050605845,93761.0,43.53064861012117,-3.955466651396705,alto,medio,medio,QUIBDO
QUIMBAYA,RURAL,44.89655172413793,46.86206896551724,46099.0,45.87931034482759,-1.6068049166902867,alto,básico,básico,QUIMBAYA
QUIMBAYA,URBANO,47.84230769230769,50.70384615384615,46099.0,49.27307692307692,1.7869616615590473,medio,básico,básico,QUIMBAYA
QUINCHÍA,RURAL,44.1875,42.953125,13273.0,43.5703125,-3.915802761517874,alto,básico,básico,QUINCHIA
QUINCHÍA,URBANO,49.23699421965318,50.79768786127168,13273.0,50.017341040462426,2.5312257789445525,medio,básico,básico,QUINCHIA
QUIPILE,RURAL,48.21739130434783,46.91304347826087,1156.0,47.565217391304344,0.07910212978647024,medio,básico,básico,QUIPILE
QUIPILE,URBANO,45.64,47.6,1156.0,46.620000000000005,-0.8661152615178693,alto,básico,básico,QUIPILE
QUÍPAMA,RURAL,49.22727272727273,53.27272727272727,92.0,51.25,3.763884738482126,medio,básico,básico,QUIPAMA
QUÍPAMA,URBANO,45.53333333333333,44.266666666666666,92.0,44.9,-2.5861152615178753,alto,básico,básico,QUIPAMA
RAGONVALIA,URBANO,49.38297872340426,52.04255319148936,1283.0,50.712765957446805,3.2266506959289316,medio,básico,básico,RAGONVALIA
