municipio,zona,promedio_ciencias,promedio_matematicas,total_accesos_internet
ZARZAL,URBANO,46.191950464396285,46.88854489164087,68852.0
ZETAQUIRA,RURAL,50.0,51.5,1328.0
ZETAQUIRA,URBANO,50.4390243902439,54.02439024390244,1328.0
ZIPACÓN,RURAL,52.6,55.2,1657.0
ZIPACÓN,URBANO,46.666666666666664,49.88235294117647,1657.0
ZIPAQUIRÁ,RURAL,53.133663366336634,56.97029702970297,377944.0
ZIPAQUIRÁ,URBANO,52.97688888888889,56.04,377944.0
ZONA BANANERA,RURAL,40.90650406504065,39.68970189701897,8529.0
ÁBREGO,RURAL,44.07142857142857,43.75,
ÁBREGO,URBANO,50.05921052631579,52.94078947368421,
ÍQUIRA,RURAL,43.44642857142857,44.5,
ÍQUIRA,URBANO,52.83018867924528,52.20754716981132,
ÚMBITA,RURAL,48.6,48.28,
ÚMBITA,URBANO,53.13333333333333,56.86666666666667,
ÚTICA,URBANO,45.86486486486486,48.027027027027025,164.0
